Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number,,,,,,,,
J3,214.53,33.37,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,,,,,,,,,
J4,57.56,103.55,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,,,,,,,,,
L1,132.82,41.23,270,68uF,IND_4828-WE-TPC_WRE,,,,,,,,,
MCP73831,177.31,69.89,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,,,,,,,,,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP73831T-5ACI-OT?qs=hH%252BOa0VZEiAcgAcEkuamXg%3D%3D
PFMF.050.1,200.14,54.73,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,,,,,,,,,
Q1,184.77,66.14,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,,,,,,,,,
Q2,125.61,36.07,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,,,,,,,,,
Q3,109.8,33.34,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,,,,,,,,,https://componentsearchengine.com/part-view/SI1308EDL-T1-GE3/Vishay
R1,67.69,55.89,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R1-PINH,196.66,21.45,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R10,68.76,121.54,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R1_BAT,176.03,65.58,90,200,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R1_PINH1,121.38,35.92,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R1_PWRUSB,113.78,32.18,0,100k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R2,100.42,114.02,90,2.2,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,https://componentsearchengine.com/part-view/R0402%201%25%20100%20K%20(RC0402FR-07100KL)/YAGEO
R2-PINH,198.83,21.44,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R2-PINH1,130.77,31.68,270,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R2-USB,201.58,58.35,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R2-USB1,181.47,72.57,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R2_BAT,201.49,57.11,0,2k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R3,109.4,28.58,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R4,114.24,36.15,270,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R5,81.82,61.3,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R6,103.87,47.45,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R7,101.54,47.74,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R8,97.45,47.52,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R9,53.86,113.89,270,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
REST_BUTTON,97.17,121.63,180,BUTTON_CUSYOMV1,MYBUTTON,,,,,,,,,
R_BOOT,75.54,121.66,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R_CAPACITOR,141.26,64.71,90,15,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R_CHANGE,115.56,121.67,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R_CL1,129.07,34.42,180,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
R_REST,93.84,121.57,90,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402,,,,,,,,,
SENSOR2,196.25,27.5,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N,,,,,,,,,https://www.snapeda.com/parts/BME680/Bosch/view-part/?welcome=home
SJ1,169.36,61.16,90,,SJ,,,,,,,,,
TP1,60.11,81.12,0,TPTP20R,TP20R,,,,,,,,,
TP10,163,32.93,0,TPTP20R,TP20R,,,,,,,,,
TP11,149.11,27.53,0,TPTP20R,TP20R,,,,,,,,,
TP12,156.41,32.88,0,TPTP20R,TP20R,,,,,,,,,
TP13,150.11,32.99,0,TPTP20R,TP20R,,,,,,,,,
TP14,167.62,74.1,0,TPTP20R,TP20R,,,,,,,,,
TP15,129.12,81.4,0,TPTP20R,TP20R,,,,,,,,,
TP16,57.5,54.63,0,TPTP20R,TP20R,,,,,,,,,
TP17,155.89,27.22,0,TPTP20R,TP20R,,,,,,,,,
TP2,62.93,80.72,0,TPTP20R,TP20R,,,,,,,,,
TP3,197.03,69.86,0,TPTP20R,TP20R,,,,,,,,,
TP4,171.26,77.26,0,TPTP20R,TP20R,,,,,,,,,
TP5,194.82,74.92,0,TPTP20R,TP20R,,,,,,,,,
TP6,61.39,90.49,0,TPTP20R,TP20R,,,,,,,,,
TP7,55.9,90.52,0,TPTP20R,TP20R,,,,,,,,,
TP8,51.57,90.74,0,TPTP20R,TP20R,,,,,,,,,
TP9,163.13,27.12,0,TPTP20R,TP20R,,,,,,,,,
U1,87.69,68.24,0,W25Q512JVEIQ,SON127P600X800X80-9N,,,,,,,,,https://www.snapeda.com/parts/W25Q512JVEIQ/Winbond+Electronics/view-part/?ref=eda
U2,64.48,68.31,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8,,,,,,,,,https://www.snapeda.com/parts/ESP32-C6-WROOM-1-N8/Espressif+Systems/view-part/?ref=eda
U3,134.29,69.96,270,DS3231SN#,SOIC127P1032X265-16N,,,,,,,,,https://www.snapeda.com/parts/DS3231SN%23/Analog+Devices/view-part/?ref=eda
U4,185.35,72.56,0,MAX17048G+T10,SON50P200X200X80-9N,,,,,,,,,https://www.snapeda.com/parts/MAX17048G+T10/Analog+Devices/view-part/?ref=eda
