R1-PINH,196.66,21.45,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R10,68.76,121.54,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_BAT,176.03,65.58,90.00,200,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PINH1,121.38,35.92,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R1_PWRUSB,113.78,32.18,0.00,100k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2,100.42,114.02,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH,198.83,21.44,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-PINH1,130.77,31.68,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB,201.58,58.35,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2-USB1,181.47,72.57,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_C0402
R2_BAT,201.49,57.11,0.00,2k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R3,109.40,28.58,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_C0402
R4,114.24,36.15,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R5,81.82,61.30,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R6,103.87,47.45,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R7,101.54,47.74,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R8,97.45,47.52,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R9,53.86,113.89,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
RESET_BUTTON,97.17,121.63,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,75.54,121.66,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CAPACITOR,141.26,64.71,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CHANGE,115.56,121.67,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_CL1,129.07,34.42,180.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
R_RESET,93.84,121.57,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_C0402
SENSOR2,196.25,27.50,90.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,169.36,61.16,90.00,,SJ
TP1,60.11,81.12,0.00,TPTP20R,TP20R
TP10,163.00,32.93,0.00,TPTP20R,TP20R
TP11,149.11,27.53,0.00,TPTP20R,TP20R
TP12,156.41,32.88,0.00,TPTP20R,TP20R
TP13,150.11,32.99,0.00,TPTP20R,TP20R
TP14,167.62,74.10,0.00,TPTP20R,TP20R
TP15,129.12,81.40,0.00,TPTP20R,TP20R
TP16,57.50,54.63,0.00,TPTP20R,TP20R
TP17,155.89,27.22,0.00,TPTP20R,TP20R
TP2,62.93,80.72,0.00,TPTP20R,TP20R
TP3,197.03,69.86,0.00,TPTP20R,TP20R
TP4,171.26,77.26,0.00,TPTP20R,TP20R
TP5,194.82,74.92,0.00,TPTP20R,TP20R
TP6,61.39,90.49,0.00,TPTP20R,TP20R
TP7,55.90,90.52,0.00,TPTP20R,TP20R
TP8,51.57,90.74,0.00,TPTP20R,TP20R
TP9,163.13,27.12,0.00,TPTP20R,TP20R
U1,87.69,68.24,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,64.48,68.31,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,134.29,69.96,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,185.35,72.56,0.00,MAX17048G+T10,SON50P200X200X80-9N
